"Files","LOC","ParseFailures","type_decs","Subtyping","Functions","Modules","Project"
4,617,0,2,15,18,1,0
3,186,0,7,4,11,0,1
2,656,0,0,139,8,1,2
12,675,2,2,2,13,3,3
14,1295,0,23,7,74,5,4
68,9888,3,81,146,329,13,5
7,827,0,13,1,25,3,6
12,688,0,5,14,30,1,7
7,388,0,3,3,23,1,8
18,745,0,0,0,34,0,9
3,332,0,0,1,9,1,10
13,965,0,10,14,60,3,11
4,418,0,0,0,23,0,12
16,2758,0,6,26,86,1,13
24,3380,0,14,157,142,3,14
26,6046,0,20,347,233,3,15
2,1203,0,1,111,43,1,16
3,488,0,1,6,25,1,17
2,352,0,2,9,21,0,19
8,948,0,1,12,31,1,20
1,102,0,2,4,3,1,21
15,1087,0,9,2,62,1,22
12,1075,0,4,12,35,3,23
1,162,0,0,1,2,1,24
3,206,0,0,0,4,0,25
3,134,0,0,0,0,0,26
5,396,0,0,0,13,0,27
3,233,0,0,0,8,0,28
33,1195,0,2,31,27,2,29
8,816,0,10,9,51,2,30
3,356,0,0,2,23,0,31
1,263,0,3,2,21,1,32
4,381,0,7,7,29,1,33
7,440,0,2,0,12,4,34
9,1362,0,23,27,90,4,35
10,1953,1,13,84,92,3,36
1,98,0,0,0,7,0,37
1,116,0,0,0,4,0,38
3,177,0,1,1,9,1,39
5,983,0,6,15,73,0,40
7,1662,0,10,37,108,0,41
1,35,0,0,0,0,0,42
6,622,0,2,13,50,0,43
7,464,0,0,2,23,0,44
13,1442,0,18,35,47,1,45
6,787,0,8,15,34,0,46
5,755,0,11,17,39,0,47
26,5148,2,50,124,304,11,48
0,0,0,0,0,0,0,49
79,17110,1,94,67,610,28,50
7,742,0,9,7,33,0,51
9,993,0,14,26,64,0,52
9,468,0,3,6,27,0,53
6,841,0,13,12,46,4,54
2,230,0,2,2,8,0,55
14,1688,0,35,27,97,2,56
2,105,0,2,16,0,2,57
3,519,0,0,0,4,0,58
9,624,0,2,0,13,1,59
5,389,0,0,0,6,1,60
2,33,0,0,0,0,0,61
39,5653,0,68,137,187,10,62
7,310,0,2,6,2,3,63
2,112,0,0,0,0,0,64
2,112,0,0,0,0,0,65
3,597,0,2,0,11,0,66
1,265,0,1,0,5,0,67
13,1765,0,4,0,21,0,68
1,84,0,0,0,0,0,69
2,60,0,0,0,0,1,70
10,599,0,11,17,16,0,71
4,186,0,0,0,3,0,72
59,9396,2,37,91,252,12,73
2,79,0,0,0,1,0,74
2,114,0,0,0,0,0,75
5,257,0,0,0,0,0,76
2,65,0,0,0,5,0,77
7,598,0,0,8,26,0,78
0,0,0,0,0,0,0,79
3,1015,0,16,7,82,1,80
10,719,0,0,8,15,2,81
9,724,0,2,28,16,2,82
2,181,0,2,3,9,0,83
17,2090,0,4,4,65,7,84
0,0,0,0,0,0,0,85
7,310,0,9,7,8,0,86
11,381,0,17,18,16,0,87
22,2221,2,3,21,14,7,89
2,662,0,0,139,8,1,90
2,171,0,0,1,8,0,91
8,552,0,3,3,23,0,92
1,118,0,4,4,2,0,93
9,2921,1,24,6,41,0,94
3,160,0,3,1,6,1,95
7,650,1,12,25,20,2,96
10,3606,1,16,67,182,4,97
3,145,0,1,0,4,1,98
4,1605,0,19,0,20,2,99
14,6199,3,10,0,66,2,100
3,500,0,1,6,13,1,101
28,2240,1,3,12,93,10,102
4,198,1,0,0,0,1,103
40,5599,0,30,23,237,2,104
71,12359,1,49,90,356,28,105
7,345,0,5,21,10,2,106
5,1102,0,11,10,47,0,107
20,7555,0,11,22,1161,5,108
2,166,0,4,4,3,0,109
6,1140,1,11,11,45,0,110
11,4978,0,56,54,242,1,111
1,893,0,9,9,44,0,112
21,3641,0,18,2,76,3,113
4,75,0,0,0,4,0,114
17,1756,0,26,38,92,4,115
2,1234,0,0,2,96,2,116
2,97,0,0,0,0,0,117
16,1454,0,8,39,57,6,118
7,741,0,2,46,48,2,119
2,49,0,0,0,0,1,120
14,919,0,15,20,24,3,121
4,293,0,2,4,11,4,122
